Received	time.monotonic	V-In (Channel 1)	V-Out (Channel 1)	V-Shunt (Channel 1)	I-Shunt (Channel 1)	Power-Calculated (Channel 1)	Power (Channel 1)	V-In (Channel 2)	V-Out (Channel 2)	V-Shunt (Channel 2)	I-Shunt (Channel 2)	Power-Calculated (Channel 2)	Power (Channel 2)
2/11/2023 3:28:52 PM	7730.56	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.11639	5.108	0.00839	0.0834	0.426007	0.426
2/11/2023 3:28:53 PM	7731.67	5.14633	5.144	0.00233	0.0232	0.119341	0.12	5.11638	5.108	0.00838	0.0838	0.42805	0.433
2/11/2023 3:28:54 PM	7732.77	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11205	5.104	0.00805	0.0804999	0.410872	0.429
2/11/2023 3:28:55 PM	7733.87	5.14233	5.14	0.00233	0.0232	0.119248	0.12	5.11235	5.104	0.00835	0.0835	0.426184	0.428
2/11/2023 3:28:56 PM	7734.97	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11238	5.104	0.00838	0.0838	0.427715	0.401
2/11/2023 3:28:57 PM	7736.07	5.14633	5.144	0.00233	0.0233	0.119855	0.12	5.11234	5.104	0.00834	0.0838	0.427715	0.428
2/11/2023 3:28:59 PM	7737.16	5.14632	5.144	0.00232	0.0233	0.119855	0.12	5.10848	5.1	0.00848	0.0848	0.43248	0.431
2/11/2023 3:29:00 PM	7738.27	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.11238	5.104	0.00838	0.0838	0.427715	0.424
2/11/2023 3:29:01 PM	7739.37	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11644	5.108	0.00844	0.0804999	0.411193	0.411
2/11/2023 3:29:02 PM	7740.47	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11233	5.104	0.00833	0.0831	0.424142	0.424
2/11/2023 3:29:03 PM	7741.56	5.14233	5.14	0.00233	0.0232	0.119248	0.12	5.11636	5.108	0.00836	0.0836	0.427028	0.426
2/11/2023 3:29:04 PM	7742.65	5.14632	5.144	0.00232	0.0233	0.119855	0.12	5.11632	5.108	0.00832	0.0832	0.424985	0.401
2/11/2023 3:29:05 PM	7743.76	5.14233	5.14	0.00233	0.0232	0.119248	0.12	5.11636	5.108	0.00836	0.0836	0.427028	0.423
2/11/2023 3:29:06 PM	7744.86	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11635	5.108	0.00835	0.0835	0.426518	0.429
2/11/2023 3:29:07 PM	7745.96	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11235	5.104	0.00835	0.0839	0.428225	0.428
2/11/2023 3:29:08 PM	7747.07	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.11246	5.104	0.00846	0.0849	0.433329	0.433
2/11/2023 3:29:10 PM	7748.17	5.14632	5.144	0.00232	0.0232	0.119341	0.12	5.11641	5.108	0.00841	0.084	0.429072	0.429
2/11/2023 3:29:11 PM	7749.27	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.11236	5.104	0.00836	0.0834	0.425673	0.426
2/11/2023 3:29:12 PM	7750.37	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11232	5.104	0.00832	0.0848	0.432819	0.433
2/11/2023 3:29:13 PM	7751.46	5.14633	5.144	0.00233	0.0233	0.119855	0.12	5.11643	5.108	0.00843	0.0843	0.430604	0.429
2/11/2023 3:29:14 PM	7752.57	5.14232	5.14	0.00232	0.0232	0.119248	0.12	5.11634	5.108	0.00834	0.0836	0.427028	0.428
2/11/2023 3:29:15 PM	7753.67	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11237	5.104	0.00837	0.0858	0.437923	0.437
2/11/2023 3:29:16 PM	7754.77	5.14632	5.144	0.00232	0.0232	0.119341	0.12	5.11247	5.104	0.00847	0.0832	0.424652	0.424
2/11/2023 3:29:17 PM	7755.87	5.14232	5.14	0.00232	0.0233	0.119762	0.12	5.11607	5.108	0.00807	0.0838	0.42805	0.428
2/11/2023 3:29:18 PM	7756.97	5.14233	5.14	0.00233	0.0233	0.119762	0.12	5.11644	5.108	0.00844	0.0844	0.431115	0.426
